Région,Préfecture,Sous-préfecture,Nom de l'Établissement,Nombre total de personnes ,Public ou privé?,Partenaire responsable de la formation,Date de la formation,Durée de la formation (jours),Type de formation,Nombre de personnes formées,Region p-code,Prefecture p-code,Subprefecture p-code
#adm1+name,#adm2+name,#adm3+name,#loc+name,#inneed+training,#status+sector,#org+code,#date,#output+duration,#output+type,#reached+trained,#adm1+code,#adm2+code,#adm3+code
Kindia,Coyah,Coyah Ctre,Poste de santé Somayah,,public,PU-AMI,,,PCI Ebola,,GIN005,GIN005001,GIN00500101
Kindia,Coyah,Coyah Ctre,Poste de santé Somayah,,public,PU-AMI,,,Triage,,GIN005,GIN005001,GIN00500101
Kindia,Coyah,Coyah Ctre,Poste de santé Somayah,,public,PU-AMI,,,WASH,,GIN005,GIN005001,GIN00500101
Kindia,Coyah,Kouria,Poste de Santé Kouriah,,public,PU-AMI,,,PCI Ebola,,GIN005,GIN005001,GIN00500102
Kindia,Coyah,Kouria,Poste de Santé Kouriah,,public,PU-AMI,,,Triage,,GIN005,GIN005001,GIN00500102
Kindia,Coyah,Kouria,Poste de Santé Kouriah,,public,PU-AMI,,,WASH,,GIN005,GIN005001,GIN00500102
Kindia,Coyah,Kouria,Poste de sante Kolakhoure,,public,PU-AMI,,,PCI Ebola,,GIN005,GIN005001,GIN00500102
Kindia,Coyah,Kouria,Poste de sante Kolakhoure,,public,PU-AMI,,,Triage,,GIN005,GIN005001,GIN00500102
Kindia,Coyah,Kouria,Poste de sante Kolakhoure,,public,PU-AMI,,,WASH,,GIN005,GIN005001,GIN00500102
Kindia,Coyah,Kouria,Poste de sante Moriakhory,,public,PU-AMI,,,PCI Ebola,,GIN005,GIN005001,GIN00500102
Kindia,Coyah,Kouria,Poste de sante Moriakhory,,public,PU-AMI,,,Triage,,GIN005,GIN005001,GIN00500102
Kindia,Coyah,Kouria,Poste de sante Moriakhory,,public,PU-AMI,,,WASH,,GIN005,GIN005001,GIN00500102
Kindia,Coyah,Kouria,Taadi,,public,PU-AMI,,,,,GIN005,GIN005001,GIN00500102
Kindia,Coyah,Wonkifong,Poste de santé Petty-Centre,,public,PU-AMI,,,PCI Ebola,,GIN005,GIN005001,GIN00500104
Kindia,Coyah,Wonkifong,Poste de santé Petty-Centre,,public,PU-AMI,,,Triage,,GIN005,GIN005001,GIN00500104
Kindia,Coyah,Wonkifong,Poste de santé Petty-Centre,,public,PU-AMI,,,WASH,,GIN005,GIN005001,GIN00500104
