REG,PREF,SPREF,DIST,SPREF4,DIST6,LANG_D,LANGLIB,DIST_D,LAT_D,LONG_D,ALT_D,NLIG_S,NOMS_STRUCTURES,STAT_S,TYPE_S,LITS,MEDECINS,INFIRMIERS,SAGEFEM,ATS,AUTRES,LAT_S,LONG_S,ALT_S
#adm1+code,#adm2+code,#adm3+code,,,,,,,#geo+lat,#geo+lon,,,#loc+name,,,,,,,,,,,
Nzérékoré  8,Gueckédou 82 ,2.0,7.0,8202.0,820207.0,4.0, ,18.0,8.36649,10.64832,237.0,5.0,xxxx,,,,,,,,,,,
2.0,21.0,5.0,12.0,2105.0,210512.0,2.0, ,4.0,9.60563,13.63029,65.0,1.0,CENTRE MERE ET ENFANTS,3.0,1.0,17.0,8.0,2.0,2.0,,22.0,9.6023,-13.64042,67.0
2.0,21.0,5.0,7.0,2105.0,210507.0,2.0, ,3.0,9.57833,13.63698,62.0,1.0,CENTRE MEDICAL SAPROMEG,3.0,1.0,,,1.0,,2.0,2.0,9.57815,-13.63596,79.0
2.0,21.0,4.0,36.0,2104.0,210436.0,1.0, ,1.0,9.59097,13.60749,44.0,1.0,clinique solidarite medical guinee,3.0,1.0,1.0,2.0,,1.0,1.0,,9.59181,-13.60838,62.0
2.0,21.0,4.0,36.0,2104.0,210436.0,1.0, ,1.0,9.59097,13.60749,44.0,2.0,clinique yimbaya permance,3.0,1.0,2.0,1.0,,2.0,,1.0,9.5914,-13.60718,46.0
2.0,21.0,4.0,36.0,2104.0,210436.0,1.0, ,1.0,9.59097,13.60749,44.0,3.0,centre medical marcel,3.0,1.0,4.0,1.0,1.0,,,1.0,9.59028,-13.60674,38.0
Nzérékoré  8,Gueckédou 82 ,7.0,3.0,8207.0,820703.0,4.0, ,,8.50525,10.33183,397.0,2.0,Centre de Soin privédeNongoa centre,2.0,1.0,,,1.0,1.0,4.0,5.0,8.50513,-10.33211,398.0
Nzérékoré  8,Gueckédou 82 ,4.0,1.0,8204.0,820401.0,4.0, ,16.0,8.76589,10.12719,448.0,1.0,Centre de Soin catholique Badala,2.0,1.0,,,,,1.0,1.0,8.75779,-10.12863,450.0
Nzérékoré  8,Gueckédou 82 ,3.0,2.0,8203.0,820302.0,4.0, ,,8.57588,10.12396,446.0,1.0,Soins privé Baladou,2.0,1.0,,,,,1.0,,8.57555,-10.12429,439.0
Nzérékoré  8,Gueckédou 82 ,3.0,6.0,8203.0,820306.0,4.0, ,,8.56184,10.12607,444.0,1.0,Etablissement de soins privé,2.0,1.0,,,,,1.0,,8.56109,-10.12661,444.0
Nzérékoré  8,Gueckédou 82 ,3.0,10.0,8203.0,820310.0,4.0, ,,8.5567,10.13285,439.0,1.0,centre de soins privé,2.0,1.0,,,,,1.0,,8.55692,-10.13283,435.0
